idx,nltk
10, atuar design programação testes soluções críticas escaláveis projetar evoluir manter pipelines envolvendo fases ingestão saneamento processamento entrega visualização desenvolver manter rotinas captura tratamento enriquecimento apoiar análise processados soluções preparação exploração ambiente analítico atuar resolução incidentes defeitos propondo melhorias aplicações processos apoiar elaboração revisão especificações técnicas funcionais funcionais trabalhar colaborativa apoiando disseminando conheça procuramos prévia desenvolvimento sistemas corporativos especificação sistemas prévia desenvolvimento pipelines envolvendo fases ingestão processamento entrega visualização computação nuvem preferencialmente microsoft azure incluindo storage app services serverless/functions ferramentas exploração análise sgbds mercado sql nosql spark python etc boas práticas metodologias desenvolvimento software perfil analítico visão sistêmica iniciativa pró-atividade identificar diagnosticar propor soluções empatia bom relacionamento trabalho equipe disposição vontade ensinar aprender qualificações habilidades desejadas governança incluindo saneamento tratamento classificação excel avançado manipulação ferramentas analíticas tais power bi microstrategy tableau etc tecnologias envolvendo inteligência artificial machine learning html xml css maven/ant log4j/logback junit/testng webservices soap/rest jsf spring boot jpa hibernate angular 5 javacript typescript go language formação requerida superior completo área tecnologia informação cursos
11, pesquisar definir desenvolver soluções processamento armazenamento disponibilização grandes volumes compõem plataformas big analítica utilizadas produtos neogrid construir manter pipeline ingestão processamento transformação insights produtos dentro padrões qualidade performance cumprimento planejamento estabelecido desenvolvimento sistemas corporativos orientação objetos padrões projetos testes unitários tecnologia scala java banco relacional nosql gerenciamento dependências maven sbt gradle sistema operacional linux arquitetura big experiencia tecnologias processamento distribuído spark mapreduce hadoop ecossistema hbase hdfs yarn zookeeper solr processamento massivo cloud azure aws .conhecimento business intelligence datawarehouse datamining superior completo sistemas informação ciência computação engenharia computação análise sistemas área relacionada
12," nesta vaga eng irá trabalhar diretamente construção melhorias toda infraestrutura tanto times bi quanto times engenharia responsável melhorias processos ferramentas construção melhora etl # 39s ferramentas extração anonimização padronização esperamos comprovada execução pipeline ciência machine learning ter filosofia simplicidade maior sofisticações trabalhe software livre multiplicador deste entender sobre arquitetura moderna etl # 39s airflow correlatos pontos extras aws amazon web service linguagens python ruby ter implementado arquiteturas extração manipulação airflow+s3 benefícios nexeer fazer parte constitui maior fintech marketplace lending américa latina ambiente dinâmico colaborativo inovador conseguir acompanhar mercado continuar inovando ritmo acelerado curva aprendizado alta além disso valorizamos ambiente informal contato direto constante sócios ceo honestidade desenvolvimento aqui encontrará ambiente valoriza feedbacks 360° 1:1 acreditamos honestidade fórmula desenvolvimento individual trabalho equipe localização acessível atualmente escritório encontra lado metrô faria lima fácil acesso através transporte público achamos essencial escritório acessível próximo maiores polos comércio finanças país gympass plataforma dá benefícios 18 mil academias brasil academias conveniadas oferecidas 700 modalidades esportivas incluindo aulas dança artes marciais musculação yoga aulas aquáticas pilates massagem ! posher benefícios in-company plataforma oferece diversidade serviços online aumentar bem-estar ajudar relaxar ! acesso aulas online yoga pilates mindfulness consultas nutricionistas psicólogos aulas inglês espanhol tudo perder tempo deslocamento ! plano saúde unimed parceria vitta ! dando direito colaborador primecare equipe saúde 24/7 tecnologia proprietária próprio pode acessada via whatsapp app atendido médicos plantão direito 90 % subsídio medicamento reembolso r $ 220,00 consulta auxílio creche cartão crédito caju ! quer gastar comida ! tal usar vr ir cinema academia cartão caju dá liberdade colaborador fazer quiser vale refeição vale transporte"
13, desenhar modelar soluções arquitetura seguras confiáveis disponíveis escaláveis definir modelagens repositórios clientes tais lakes datawarehouses bases relacionais relacionais desenvolver estratégias aquisição históricos online recuperação informação implementação pipelines processamentos armazenamento manter repositórios seguros pipelines integração confiáveis escaláveis planejar modelar estruturas comunicação sistemas legados repositórios construir sustentar infraestrutura suporta treinamento operação modelos machine learning entendimento necessidade clientes junto equipes negócio requisitos qualificações forte skill engenharia software proficiência alguma linguagem programação preferência python java proficiência linguagem sql big warehousing business intelligence arquitetura processos cargas datalake extrações via api # 39s ferramentas etl ferramentas orquestração fluxo dataops esteiras ci/cd cloud computing preferencialmente gcp aws azure diferenciais engenharia machine learning catálogo
14, irá atuar ativamente desenvolvimento plataforma inteligência geral desenvolver evoluir manter parte escopo projetos plataforma baseada ambiente aws desenvolvimento implementação componentes aws - emr cloud formation glue athena apis integration services administração bucket s3 instâncias aws ec2 execução componentes plataforma analytics requerido migração partir fontes sap ecc 4hana sales force sistemas legados c/ bd sql server estruturados planilhas/imagens/etc plataformas digitais redes sociais sites e-commerce internos externos apps datalake aws desenvolvimento lambda functions armazenamento dw datamarts cluster big integração destino banco sql nosql azure sql dw aurora mariadb redshift dynamodb mongodb manutenção scripts python sql r nodejs desejáveis kafka kinesis considerados diferenciais modelagem especificação arquitetura soluções bi analytics seguindo melhores práticas design patterns recomendados internamente fornecedores
15, desenvolver soluções engenharia nuvem produtos azure databricks factory storage azure sql server coletar requerimentos relação soluções bi construir modelagem descrevam relacionamentos modo consistente suportar objetivos negócios tecnológicos desenhar relatórios dashboards facilitem operacionais negócios extrair insights avançados definir camada semântica treinar apoiar exploração autônoma ferramentas apropriadas definir processos forneçam conjuntos análises aumentando velocidade entregas limpar preparar futuro principalmente bigdata simplificar acesso colaboração meio componentes reutilizáveis apis views dataset etc requisitos necessários azure bricks azure factory azure storage azure sql arquitetura ambientes databricks factory storage azure sql server análise requisitos bi modelagem relacionamento desenhar desenvolver relatórios dashboards análise semântica executar processo etl integração fontes processos governança requisitos desejáveis programação linguagem python
16, atuar design programação testes soluções críticas escaláveis projetar evoluir manter pipelines envolvendo fases ingestão saneamento processamento entrega visualização desenvolver manter rotinas captura tratamento enriquecimento apoiar análise processados soluções preparação exploração ambiente analítico atuar resolução incidentes defeitos propondo melhorias aplicações processos apoiar elaboração revisão especificações técnicas funcionais funcionais trabalhar colaborativa apoiando disseminando prévia desenvolvimento sistemas corporativos especificação sistemas prévia desenvolvimento pipelines envolvendo fases ingestão processamento entrega visualização computação nuvem preferencialmente microsoft azure incluindo storage app services serverless/functions ferramentas exploração análise sgbds mercado sql nosql spark python etc boas práticas metodologias desenvolvimento software perfil analítico visão sistêmica iniciativa pró-atividade identificar diagnosticar propor soluções empatia bom relacionamento trabalho equipe disposição vontade ensinar aprender governança incluindo saneamento tratamento classificação excel avançado manipulação ferramentas analíticas tais power bi microstrategy tableau etc tecnologias envolvendo inteligência artificial machine learning html xml css maven/ant log4j/logback junit/testng webservices soap/rest jsf spring boot jpa hibernate angular 5 javacript typescript go language
17, contratando engenheiro execução projetos transformação digital desenvolvendo ferramentas inovadoras entregar melhor plataforma grande empresa entendemos evolução necessário tecnologias python bigdata metodologia agil metodologia ágil ferramentas etl desenvolvimento grande oportunidade certeza hesitaremos contratar bancos sql server oracle teradata transformação envolve áreas projeto prazo indeterminado fara parte equipe desde início possamos ter melhor resultado equipe longa evolução plataformas grande empresa telecomunicação 100 % remota interesse candidate-se vaga grande prazer dividir grandes coisas termos negócios nunca feitas pessoa feitas equipe pessoas idioma inglês - intermediário
18, propor executar validar apresentar implantar tecnologias soluções questões técnicas negócios através ferramentas arquiteturas projetadas processamento grande volume foco inovação melhora qualidade provendo insumos novos produtos empresa engenharia siem qradar
19, profissional gerencia otimiza supervisona monitora recuperação responsável armazenamento distribuir linhas gerais profissional responsável gerenciar otimizar supervisionar monitorar recuperação armazenamento distribuição toda organização engenheiros membros vitais qualquer equipe corporativa análise fundamentos big hadoop hive sql streamsets spark python modelagem nosql linux ingestão integração processamento armazenamento grandes volumes
20, engenheiro projeta implementa gerenciamento monitoramento segurança privacidade soluções atendam necessidades negócios concluído cursando superior informática matemática engenharia áreas docker apache spark apache airflow apache hive.apache zookeeper apache hadoop yarn apache kafka.apache sentry ecossistema cloudera onhecimento seguintes linguagens sql python orientação objeto funcional diferenciais c # .redis.jupyter notebook .devopsdata driven ciência
21, extrair plataformas trabalhar terabytes garantir meio monitoramento métricas todo processo etl funcionando propor melhorias soluções relacionadas engenharia processos etl extract transform and load grandes conjuntos ferramentas bigdata spark presto kafka kinesis etc ambiente data-driven tecnologias spark kafka presto airflow sente confiante datasets agregados práticas construção lakes warehouses cloud aws azure gcp função
22, engenheiro desafio desenvolver pipelines praticar governança disseminar melhor fonte cada necessidade modelos estatísticos inteligência negócio bi mis etc procuramos alguém dinâmico capaz buscar melhores soluções cada desafio proposto desenvolvimento ingestões azure factory desenvolvimento pipelines spark desenvolvimento python manipulação datamarts tabelas unificadas melhor atender requisitos negócio realizar entregas todos ambientes inclusive produção automatizar integrações bases lake soluções python outra linguagem voltada manipulação conceitos etl modelagem avançados sql diferenciais arquitetura cloud preferencialmente azure azure factory azure databricks azure lake storage azure synapse analytics análise fontes conforme pedido áreas negócio banco arquivos estruturados etc alguma ferramenta etl ibm datastage odi informatica powercenter experiencia análise extração estruturados estruturados familiaridade ambiente cloud azure google aws levantamento necessidades definições formato integração ferramentas dashboards power bi tableau
23, projetar desenvolver testar instalar implementar modificar manter soluções business intelligence warehousing processo consultoria análise modelagem modelagem banco multidimensional relacional traduzir desafios requisitos negócios percepções escrever desenvolver processos etl ad-hoc produção proficiente sql pl-sql t-sql prática pipelines python etl preparação engenharia recursos prático scripts shell plataformas orientadas estatísticas sas ssps plataformas etl stage powercenter paradigmas modelagem relacionais gráfico documento valor-chave coluna proficiente menos plataforma big cloud azure aws gcp inglês avançado espanhol intermediário
24, nascemos 1998 fruto paixão tecnologia impulso empreendedor fundadores sabedoria página inicial internet brasil pode ter acreditamos todos podem desenvolver oferecemos portfólio completo serviços internet atendimento especializado conteúdo 280 mil clientes 15 mil desenvolvedores parceiros gente empresa possui diferentes unidades negócio cada conjunto soluções específicas serviços internet e-commerce marketing relacionamento digital projetos corporativos algo comum paixão desenvolver porque aqui locaweb desenvolver vai além tecnologia tirar letra precisa fundamentos big hadoop hive sql streamsets spark python modelagem nosql linux ingestão integração processamento armazenamento grandes volumes locaweber convênio médico convênio odontológico vale-transporte estacionamento gratuito serviço gratuito vans terminal joão dias locaweb vale refeição seguro vida máquinas café vontade massagem ginástica laboral in company sala relax tv mesa bilhar carteado tênis mesa vídeo games puffs salão beleza in company cabeleireiro depilação manicure estética corporal gympass day off programa qualidade vida bem-estar parceiras diversos estabelecimentos área saúde lazer entretenimento oferta cortesias produtos locaweb onde ficamos lugar incrível muita natureza pertinho metrô giovanni gronchi terminal joão dias rua itapaiúna 2434 paulo/sp
25, arquitetura ingestão hadoop bigdata nosql databases sql pl/sql apache spark scala pyspark etl extração transformação carregamento gerenciamento serviços ti preparation habilidades coletar limpar normalizar combinar estruturar organizar análises tecnologias utilizadas hortonworks on premise linux - spark hadoop - hive - sqoop phoenix - hbase - oracle - shell-script elasticsearch desenvolvimento apache scala tecnologias cloud gcp bigquery dataproc scala storage buckets cloud pub/sub python
26, atuar desenvolvimento área bi desenhando melhores soluções negócio realizar desenvolvimento processos foco performance qualidade modelagem necessário modelagem arquitetura dw
27, contribuir projeto lake preparação implementando design sólido robusto extensível suporte fluxos negócios infraestrutura necessária extração transformação carregamento otimizados ampla variedade fontes tecnologias sql aws outras fornecer excelência operacional meio análise causa raiz melhoria contínua tecnologias processos big contribuir inovações insights impulsionam visão empresa trabalhar ambiente colaborativo interagindo vários grupos diariamente bacharel ciência computação disciplina técnica relacionada trabalho projetos/ infraestrutura hadoop práticas dw espaço big menos linguagem script shell python perl etc linguagem programação python proficiente projetar fluxos trabalho etl inglês avançado capacidade escrever analisar depurar consultas sql soft skills flexibilidade resiliente proativo comunicação eficaz
28, projetar desenvolver sistemas machine learning deep learning executar testes experimentos aprendizado máquina pesquisar implementar algoritmos machine learning apropriados selecionar conjuntos apropriados métodos representação realizar análise estatística ajustes modelos resultados teste treinar ajustar sistemas necessário estender bibliotecas estruturas machine learning existentes ensino superior completo machine learning compreensão estruturas modelagem arquitetura software matemática probabilidade estatística algoritmos capacidade escrever código robusto python java r. estruturas aprendizado máquina keras pytorch bibliotecas scikit-learn habilidades comunicação vivência cultura devops linux docker avançado git automação desenvolvimento software jenkins similar idioma inglês - fluente
29, profissional grande capacidade técnica abraçar novos desafios desenvolver seguintes tarefas - desenvolver construir testar manter arquiteturas - alinhar arquiteturas requisitos negócios - cuidar aquisição - desenvolver processos conjunto - usar linguagem programação ferramentas - identificar maneiras melhorar confiabilidade eficiência qualidade - usar grandes conjuntos resolver problemas negócios - implantar programas analíticos sofisticados machine learning métodos estatísticos - preparar modelagem preditiva prescritiva - padrões ocultos - usar descobrir tarefas podem automatizadas - entregar atualizações partes interessadas base análises candidato deve ter terceiro grau ciência computação engenharia matemática aplicada curso correlato design banco sql linguagens programação python java .... cursos certificações área mestrado pós-graduação análise cloudera certified professional ccp engineer google cloud certified professional engineercertificate in engineering excellence big analytics optimization cpee ibm certified engineer big fluência inglês ter boa comunicação organizado idioma inglês - fluente
30, atuar área analytics sendo responsável modelagem clusterização segmentação projetos indústria auxílio tomada decisão além disso vai realizar avaliação estruturação atual futura proposição desenvolvimento estrutura futuros melhorias código base vai operar todo processo gestão informações projeto produto marketplace setor saúde profissional aptidão desenho desenvolvimento soluções big batch fast capazes superar desafios importantes segurança performance resiliência aplicações missão crítica altíssimo volume consumo modelagem azure adlsgen2 comosdb cassandra/mongodb plataformas extensão lake clouds públicas produtos cloud pública azure spark databricks event hub adlsgen2 hdinsight frameworks produtos processamento big fast spark sparkstreaming java/scala hive impala produtos utilizados construção soluções big fast kafka yarn schema registry produtos extensão lake cloud pública azure spark databricks event hub adlsgen2 hdinsight metodologia desenvolvimento ágil
31, sustentação microserviços fluxo nrt preparação spark streaming entendimento requisitos negocio desenvolvimento pipelines teste unitário desenvolvimento plano implantação acompanhamento implantação validação homologação gestor alinhar origem necessidade replicação ativar replicações origem dev/prod acompanhamento estabilização job produção sustentação pós-implantação pyspark python spark shell hql sql git kafka java hbase intermediário framework hadoop nifi cdc básico jira confluence bitbucket docker micro serviços
32, atuará factory lake storage desenvolvimento modelagem warehouse python
33, propor desenvolver soluções dataops cloud construir scripts transformação transacionais analíticos mecânicas gerencia ciclo vida trabalhar processamento volumes massivos streaming batch explorar tecnologias propor formas inovadoras disponibilizar melhores condições cientistas analistas participar colaborar squads ágeis rituais participar soluções propositivo apresentar ideias críticas configuração desenvolvimento deploy soluções cloud aws azure gcp huawei proficiência python scala orientação objetos domínio sql plsql construção pipelines etl qualquer ferramenta bibliotecas python manipulação pandas numpy etc apache spark soluções utilizam arquivos parquet avro orc carbon docker entendimento modelagem dimensional possuir certificação técnica aws azure gcp huawei databricks apache kafka
34, levantar entender necessidades cliente identificar oportunidades propor soluções consonância orientações cientista - chefe apoiar desenvolvimento implantação operacionalização projeto garantindo aderência necessidades cliente avaliar propor melhorias soluções adotadas projetos big engenharia arquitetura batch streaming lambda kappa menos java scala plataformas cloud big ingestão processamento datalake warehouse construção dashboards análise grafana kibana power bi tableau sólidos linux sólidos containers docker construção publicação proficiência sql shell script apache spark hadoop java scala modelagem rdb colunar elk elasticsearch logstash kibana etl nifi streamsets logstash gcp aws formação acadêmica curso superior completo ti
35, atuar governança ferramentas ms office atuando projetos centrados sobre governança intermediário sobre qualidade menos seguintes tecnologias teradata sas hive/hadoop power bi microstrategy tableau intermediário ferramentas ms office power point word excel project - intermediário atuando projetos centrados desenvolvimento sistemas baseados sgbds soluções bi analytics intermediário conceitos big ferramentas opens source catalog lineage virtualization - basico qualificações métodos ágeis desenvolvimento projetos - ferramentas informática axon edc - ferramentas informática bdm bdq -
36, construção processos ingestão desenvolvimento códigos utilizando-se linguagens tools citados abaixo sql ferramenta etl banco oracle sql server teradata ferramentas bigdata hadoop hive impala hdfs metodologia ágil python spark scala shell script ensino superior completo elt desenvolvimento sql metodologia ágil
37, desenvolvimento códigos utilizando-se linguagens tools citados abaixo sql ferramenta etl banco oracle sql server teradata ferramentas bigdata hadoop hive impala hdfs metodologia ágil python spark scala shell script detalhes trabalho 1 - analytics solution architecture p1 - beginner | 2 - big analytics p1 - beginner primary skill others please note the skill at the beginning of job description construção processos ingestão ensino superior completo
38, responsável ingestões componentes google cloud plataform responsável manutenções ingestões processos componentes hadoop hortonworks deverá desenvolver ingestões transformações automação pipeline implantação monitoramento testes desenvolvimento ficará alocado squad ágil seguirá backlog dado porduct owner equpe vivência/experiência modelo ágil desenvolvimento produto/software scrum kanban etc relevante menos abaixo java python spark scala linguagem sql banco relacional oracle processos carga batch streaming origem destino bancos nosql hbase elastic search mongodb hive comprovada cloud google pipelines ingestão google cloud arquitetura big hadoop google cloud platform construção lakes warehouses construção dashboards modelagem multidimensional inglês avançado/ técnico idioma inglês - intermediário
39, propor executar validar apresentar implantar tecnologias soluções questões técnicas negócios através ferramentas arquiteturas projetadas processamento grande volume foco inovação melhora qualidade provendo insumos novos produtos empresa
40, hortonworks nifi java aws glue python pyspark rodando emr cluster java/python backend metodologia ágil inglês avançado ferramentas integração matillion informática cloud bancos cloud snowflake aws redshift tecnologias aws s3 google cloud storage azure lake storage avançados sql construção otimização etl pipelines streaming batch levantamento requisitos idioma inglês - fluente
41, atuar dentro traduzindo externas produtos processos etl alimentar lake warehouse identificar implementar coleta fontes internas externas auxiliar manutenção monitoramento pipeline manutenção evolução modelagem cloud aws gcp sql bancos modelagem desenvolvimento python java vivência implementação big analytics spark metodologias ágeis git requisitos diferenciais sistemas mensageria kafka/ pub sub kinesis docker ferramentas orquestração airflow/step functions/nifi sistemas distribuídos
42, - processamento gestão - inspeção - limpeza - trasnformação - modelagem - adequação atender regras negócios - marts áreas empresa bi financeiro comercial operacional - automatização envio clientes - banco sql relacional - banco nosql relacional - mongodb - mart - modelagem dimensional - modelagem transacional - etl - typescript - node.js
43, python azure sas guide programação sas avançada aplicações ecossistema hadoop hive mapreduce storm flume etc java vivência gerenciadores banco oracle sql squads metodologia ágil remota durante pandemia após período híbrida paulo região faria lima
44, bancos migração bases efetuar processos ingestão conhecer apache beam spark linguagem scala tecnologias sql server redis nifi kafka legado - ghawk google cloud sql mysql google bigquery google dataflow google pub/sub elasticsearch
45, análise desenho processos azure sas guide programação sas avançada aplicações ecossistema hadoop hive mapreduce storm flume python java vivência gerenciadores banco oracle sql squads metodologia ágil vivência banco relacionais linguagem sql sql server oracle soluções exploração power bi tableau sas va noções analytics segmento varejo e-commerce soluções exploração power bi tableu sas va noções analytics planejamento alinhamento requisitos funcionais artefatos serem entregues cada solicitação demanda interagir clientes desde levantamento requisitos apresentação relatório final habilidades gestão técnica planejar priorizar orientar acompanhar
46, descrição vaga acreditamos tecnologia revoluciona verdadeiramente capaz mudar hábitos facilitando vida pessoas vai trabalhar multidisciplinar diferentes skills objetivo entregar melhor clientes fará parte interesse único entregar tudo trás negócio escalabilidade crescimento contínuo responsabilidades atribuições vai trabalhar multidisciplinar diferentes skills objetivo entregar melhor fará parte interesse único entregar tudo trás negócio escalabilidade crescimento contínuo paixão trabalhar impacto vida clientes então achou oportunidade perfeita ! -construção/consolidação automação -construção dashboards power bi requisitos qualificações python paixão engenharia alta qualidade sql nosql databases automação rpa azure graduação computer science/engineering modeling
47, atuar arquitetura assim hadoop hdfs hive python scala shell script sql vivência ambientes cloud metodologias ágeis
48, atuar arquitetura assim hadoop hdfs hive python scala shell script sql vivência ambientes cloud metodologias ágeis
49, analisar descrever especificar desenvolver alterar validar implantar manter fluxos serviços micro serviços ampla informação integração sistemas trabalhar junto arquitetos analistas sistemas dentro metodologia ágil provendo pipeline extração transformação carga estruturados fontes heterogêneas realizando tratamentos automatizados garantir qualidade veracidade informação vivência liderança squad banco sql-server postgresql mongodb etl ssis modelagem sql ssas nosql foco java etl sql precisa big hadoop spark ... ia/ciência python r machine learning ... idioma inglês - intermediário
50, implementação infraestrutura arquitetura necessária cientista empresa possa fazer adequado transformando-os informação novos negócios receita atuar mãos dadas cientista sempre alinhados demais equipes empresa responsável planejar desenvolver arquitetura mantê-la atualizada torná- la escalável ensino superior completo ciências computação análise sistemas sistemas informação cursos correlatos inglês avançados práticos bancos sql postgresql timescaledb @ postgresql mongodb avançados práticos api - request/response plataforma microsoft azure cloud databricks datafactory synapse desenvolver construir testar manter arquitetura alinhar arquitetura requisitos negócios utilizar linguagem programação ferramentas adequadas ingestão modelagem identificar maneiras melhorar confiabilidade eficiência qualidade preparar modelagem preditiva prescritiva entregar atualizações cientista possibilite realizar análises necessárias sobre arquitetura soluções intermediário sobre arquitetura sistemas distribuídos
51, construção/consolidação automação construção dashboards power bi python paixão engenharia alta qualidade sql nosql databases automação rpa azure graduação computer science/engineering modeling
52, atuar mining big extração expertise job sql server automatizações processos procedures functions sql dashboards tableau power bi ferramentas similares implementação ambiente cloud azure aws etc desenvolvimento algoritmos aplicação larga escala desenvolvimento modelos ml/ modelagem preditiva estruturados phd mestrado ciências computação matemática física estatística python r. capacidade comunicação apresentação verbal escrita capacidade transmitir conceitos matemáticos não-peritos arquitetura experiencia dba
53, implementar soluções extração monitoramento ambiente mantendo infraestrutura execução liderar propostas tecnológicas evolução plataforma melhoria processos gerenciar volume variedade velocidade veracidade lake monitorar assegurar execução pipelines extração acompanhar resolução problemas encontrados trabalhar conjunto equipes negócios governança garantir soluções escaláveis baixa latência resiliência etl unix processamento larga escala processamento paralelo distribuído linguagens programação python java scala banco nosql sql chave-valor computação nuvem azure/google clouds datafactory databricks datalake serviços serverless processamento batch streaming práticas devops infraestrutura código desenvolver gerenciar plataforma garantindo aderência necessidades tecnológicas negócios tecnologias big incluindo hadoop spark nifi flume sqoop airflow kafka hbase
54, bancos migração bases efetuar processos ingestão ensino superior linguagem nodejs ferramentas aws trabalhar etls tecnologias datalake datawarehouse datamarts tecnologias streaming kinesis kafka sql avançada linguagem nodejs trabalhar cdc change capture idioma inglês - intermediário
55," 4 anos engenheiro banco azure certificação dp-200 dp-201 dp-203 04 anos engenheiro banco azure certificação dp-200 dp-201 dp-203 faixa salarial remuneração 13.000,00 pj clt + benefícios interessados encaminhar currículo rh5.vagastecnologia @ gmail.com título engenheiro azure"
