idx,nltk
10, resolver problemas negócios técnicas orientadas trabalhar variedade linguagens programação incluindo r python ter sólida compreensão estatística incluindo testes distribuições estar sempre atualizado sobre técnicas analíticas machine learning deep learning análise texto coletar grandes quantidades não- estruturados transformá-los formato utilizável banco nosql mongodb comprovada função cientista graduação curso superior área tecnologia informação conclusão qualquer curso superior acompanhado certificado curso pós-graduação especialização mestrado doutorado área tecnologia informação
11, manter pipelines irão utilizados responder perguntas negócio servir origem dashboard power bi podendo ter modelos inteligência artificial machine learning linguagem python responsabilidades atribuições realizar desenvolvimento elaborar boas práticas desenvolvimento códigos power bi construção etls base analíticas solução nuvem azure componentes datafactory databricks último linguagem python construção relatório dashboards microsoft power bi processos automatizados webscraping levantamento necessidade áreas negócios construção documentação facilitar comunicação diferentes áreas frente projetos bi bigdata alinhar ambiente corporativo ti necessidades negócios padrões melhores práticas mercado ensino médio completo plataforma azure componentes datafactory databricks desenvolvimento dashboard powerbi extração manipulação partir planilhas arquivos bases linguagem programação base pl/sql python inglês espanhol intermediário conhecer métodos ágeis alinhar ambiente corporativo ti necessidades negócios padrões melhores práticas mercado
12, implementação melhorias controles tornando abrangentes eficazes estruturação controles automáticos machine learning implementação inteligência artificial controles processos elegíveis big hive hbase python machine learning inteligência artificial r power bi formação superior completa
13, empresa nacional focada melhoria educação pública busca profissional utilizar técnicas machine learning elaboração pesquisas diagnóstico voltados tomada decisão gestores processamento ambiente nuvem processamento clusters elaboração relatórios analíticos elaboração rotinas análises automatizadas portfólio educacionais graduação tecnologia informação estatístico economista engenheiro análise sistema áreas pós graduação completa machine learning avançado sql intermediário processamento nlp intermediário pyton/r avançado plataformas hospedagem intermediário qualificações necessários machine learning python/r sql plataformas hospedagem e.g github processamento nlp
14, mapeamento oportunidades aplicação ml ia junto áreas negócio elaboração business case projetos análise desenvolvimento projetos matemáticos estatísticos área seguros desenvolvimento validação modelos preditivos desenvolvimento estudos foco melhoria processos oportunidades otimização custos/ aumento receita estudo indicadores performance resultado mineração manipulação banco formação superior completa matemática estatística ciências astuariais engenharia outras sql intermediário inglês intermediário manipulação base desenvolvimento modelos estatísticos técnicas machine learning habilidades numéricas capacidade analítica raciocínio lógico diferenciais softwares sas microsofit power bi r python robot área seguros superior completo
15, irá trabalhar área monetização área responsável toda estratégia valores produto irá trabalhar diretamente especialistas precificação compras rentabilidade estratégia mercado posição fundamental crescimento produto escalável sustentável fazer perguntas respostas dentro resto consegue ver conduzir liderança equipe elaboração manutenção otimização modelos preditivos prescritivos baseados algoritmos estatísticos visem oferecer insights negócios otimização operações vendas marketing atendimento cliente fazer análises exploratórias construir visualizações análises consumidas outras áreas apoiar equipe visem otimização qualidade desses bem tratamento limpeza melhores resultados modelos construídos interagir produtos compreender estruturar fontes reunir entender traduzir necessidades negócios operações possíveis soluções baseadas modelos estatísticos graduação completa estatística engenharias ciências computação análise sistemas matemática aplicada física cursos semelhantes cientista perfil detalhista analítico investigativo curioso avançada sql avançada extrair transformar carregar etl banco outro avançada mineração modelagem manipulação grandes volumes avançada modelagem estatística preditiva prescritiva ferramentas visualização especialmente power bi domínio técnicas aprendizado máquina idioma inglês - fluente
16, consultor atuará junto cliente direcionar tendências análises estudo promovendo mindset análise toda operação juntamente analytics desenvolvendo parceria ux promovendo cultura foco satisfação cliente vertente serviço prestado vivo - intelectualmente curioso colaborativo automotivado goste aprender tecnologias goste trabalhar ambiente dinâmico - ensino superior completo conclusão - datawarehouse - bancos sql nosql - linguagem sql melhores práticas - python - noções desenvolvimento web api/rest - vivência entregas organização projetos
17, desenvolver implantar modelos voltados alavancar negócios - algoritmos modelos propensões focados estratégia negócio - exemplos redução churn avaliação clientes propensos produtos específicos etc trabalhar próximo crm canais produto apoiar implementar decisões baseadas advanced analytics análises/estudos ampliação cliente trazendo insights oportunidades negócio investigando fundo indo além resultados superficiais hipóteses iniciais saber explicar descobertas clareza desenvoltura tanto público técnico quanto público técnico analisar todos ângulos problema considerar fonte correta ecultivar curiosidade constante habilidade gerenciamento tempo ensino superior completo prática advanced analytics crm machine learning deep learning modelos supervisionados otimização matemática comprovada programação domínio linguagens sas r python manipulação estruturação advanced analytics crm - intermediário
18, 1 desenvolvimento treinamento algoritmos meio técnicas aprendizagem supervisionada supervisionada 2 estruturar tratar efetuar processamento bases 3 elaboração modelagem regras negócio plataformas sistemas web 1 modelagem desenvolvimento algoritmos javascript matlab node.js python r 2 treinamento algoritmos meio técnicas aprendizagem supervisionada supervisionada 3 estruturação tratamento processamento bases 4 modelagem regras negócio plataformas sistemas web escolaridade mínima doutorado ciência computação engenharia computação estatística matemática
19, desenvolver aplicar modelos estatísticos preditivos prescritivos ferramentas tecnológicas linguagens tais python java angular r pyspark explorar construir soluções suportem decisões negócio projetos diferentes áreas empresa tais fraude crédito análises market share competitividade avaliação produtos serviços ensino superior completo ciência computação áreas pós graduação inteligência competitiva bic business inteligence habilidade mining machine learning python google analytics big programação java sql powerbuilder idioma inglês - intermediário
20, linguagens programação python machine learning processamento linguagem natural banco sql/nosql afinidade matemática ter capacidade analítica modelagem etapas ciclo vida projeto analytics projetos science machine learning acadêmicos mercado pós graduação especialização mestrado doutorado completa andamento área plataformas big modelagem biblioteca nltk opennlp spacy idioma inglês - intermediário
21, responsável extração base construção modelos classificação análise preditivas sugestões inteligentes desenvolvimento processos fluxos geração informações modelagem atuarial estatística modelagem machine learning estatística construir soluções negócio ensino superior andamento completo ciências atuariais estatística alteryx mining machine learning sql server python excel avançado
22, teste hipóteses simulação cenários pontos separar relevantes emaranhado fontes quais trabalha capacidade aprendizado rápido grande facilidade comunicação raciocínio lógico numérico aguçado programação tais python java etc negócios apoiar estratégias negócios produzir ideias disruptivas alavancar lucratividade empresas essencial
23, propor soluções técnicas resolução problemas complexos fundamentado estudo reunir analisar comunicar correlacionar interpretar transformar aplicação técnicas estatísticas matemáticas pareto histograma estudos amostras análise padrões regressão linear logística anova frequência absoluta relativa limites controle distribuições dispersões outras técnicas relevantes apoiar implementação novos projetos produtos auxiliar estudo desenvolvimento análises viabilidade técnica custos atuar responsável mapeamento identificação disfunções processos produção além avaliar oportunidades melhoria ensino superior completo ciências computação engenharia engenharia estatística física matemática pós-graduação completa cursando big ciência estatística aplicada saúde processos produção proficiência álgebra linear matemática estatística aplicada office avançado sólidos mining etl estatística aplicada saúde desejáveis banco big business analitycs business intelligence fundamentos linguagem programação construção algoritmos lake warehouse deep learning hadoop machine learning mapreduce spark programação análises r phyton sql ferramentas análise modelagem matlab minitab etc idioma inglês - intermediário
24, extração tratamento análise acompanhamento modelos produção desenvolvimento acompanhamento bi performance modelos desenvolvimento modelos técnicas estatísticas machine learning acompanhamento rotinas identificação recomendação implementação melhorias relacionadas processos envolvem modelos power bi sql
25, extração tratamento análise acompanhamento modelos produção desenvolvimento acompanhamento bi performance modelos desenvolvimento modelos técnicas estatísticas machine learning acompanhamento rotinas identificação recomendação implementação melhorias relacionadas processos envolvem modelos power bi sql
26, responsável desenvolvimento soluções orientadas baseadas técnicas aprendizado máquina machine learning prover produtos serviços clientes equipes vendas marketing lideranças empresa ideias melhorar decisões tomadas processos negócio desenvolver modelos algoritmos personalizados agrupamentos documentar especificações claramente expressam requerimentos casos documentações especificações técnicas funcionais coordenar diferentes equipes funcionais implementação modelos monitoramento resultados desenvolver processos ferramentas monitorar analisar desempenho modelos precisão precisa responsável comprometido prazos entregas projetos tendo senso urgência aberto desafios sabendo lidar contratempos requisitos familiaridade ambiente unix python scala r java processamento distribuídos spark hadoop aws s3 ec2 emr redshift dynamodb kinesis analíticos estatísticos linguagens programação ágil adaptável estar disposto compartilhar ponto vista pov estar disposto entender pov estar aberto novos desafios disponibilidade viagens pois irá atuar técnico francisco singapura eventualmente necessário viajar outras unidades inglês avançado/fluente espanhol curso superior área tecnologia/ exatas física astronomia química matemática etc. área ter trabalhado startup ter integrações 3º setor preferência telco fintech americana onde mescla cultural racial vem agregando papel protagonista conquistas personalidade empresarial onde falamos línguas compartilhamos diferenças colaboradores poderão visitar escritórios clientes todo mundo acesso ferramentas personalizadas podendo escolher melhores tecnologias prezamos investimento aprendizagem contínua apoiando crescimento profissional pessoal cada acesse página carreiras https //juvo.com/careers/ modelo contratação clt remota durante pandemia presencial pós-pandemia
27, gosta desafios gerando falcões inaugurando nova posição cientista pronto colocar mão massa fazer acontecer então vaga perfeita ! vem gente vem falcão ! ensino superior completo ciência computação engenharia computação áreas relacionadas inglês básico domínio linguagem sql python domínio banco sql server oracle mysql nosql domínio estatística domínio visão sistêmica negócio domínio ingestão integração processamento armazenamento machine learning inteligência artificial
28, domínio técnicas aprendizado máquina - programação r python fluência sintaxe básica métodos pacotes leitura escrita fluência pacotes machine learning python sklearn r caret mlr habilidade computação - banco modelo banco relacional sintaxe sql álgebra relacional join group by order by chaves primárias secundárias estrangeiras domínio avançado técnicas estatística estatística básica variáveis aleatórias contínuas discretas função densidade probabilidade distribuição acumulada propriedades distribuições médias medianas quartis moda variância testes hipótese distribuições normal bernoulli binomial uniforme poisson geométrica
29, mapear priorizar indicadores rh modelagem estatística desempenhar papel liderança contribuir tomada decisão baseada gerando aumento eficiência produtividade via monitoramento kpis comparações benchmarks internos externos indicação ações/insights estratégicos rh capacidade analítica ensino superior completo matemática estatística engenharia áreas correlatas análise modelagem estatística people analytics python azure
30, desenvolver análises diagnósticas testes hipótese grandes volumes identificar oportunidades junto áreas negócio atender necessidades stakeholders coletar limpar armazenar organizar integrar contribuir pipelines engenheiros modelos inteligentes machine learning ml inteligência artificial ai métodos modelagem dado auxiliar clientes internos externos tomadas decisões negócios realizar análises exploratórias modelagem preditiva aplicar aprendizado máquina realizar simulações visualização interativa garantindo performance modelos entrega resultados esperados evangelista relação ferramentas análise modelos estatísticos existentes empresa graduação completa qualquer área perfil fortemente analítico raciocínio lógico linguagem programação voltada ciência python r spss sas - preferêncialmente python domínio sql análise descritiva visualização algoritmos machine learning modelagem estatística regressão classificação clusterização destaque possuir pós graduação especialização área formação acadêmica mestrado/doutorado conhecer algoritmos ml ai nlp visão computacional redes neurais profundas algoritmos genéticos aprendizado reforço técnicas algoritmos deep learning tensorflow pytorch ambiente cloud computing aws gcp azure ciclo desenvolvimento software modelos produção ci/cd mlops ferramentas git jenkins docker ferramentas bi powerbi tableau similares soft skills forte desejo autodesenvolvimento aprimoramento abertura feedback adorar trabalhar proatividade sempre importar comportar dono entregáveis
31, ajudar identificar oportunidades alto valor possam endereçadas machine learning liderar participar construção produtos diferentes áreas empresa valor clientes parceiros negócio construir validar testar implementar modelos machine learning produtos internos externos garantindo melhores práticas engenharia trabalhar conjunto times tecnologia implementar otimizar soluções evoluir ambientes ferramentas gerar recomendações insights alto potencial valor times internos evangelizar cultura data-driven empresa science linguagens programação python r sql resolver problemas negócio aplicação advanced analytics science métodos estatísticos tais regressões séries temporais redes neurais clusterização árvores decisão modelos heurísticos familiaridade lidar trade-offs desempenho modelos necessidades negócio implementação modelos alta capacidade analítica resolução problemas visão estratégica senso negócio fortes habilidades comunicação apresentação talento especial explicar conceitos analíticos complexos pessoas outras áreas capacidade trabalhar times multifuncionais formação áreas ciência computação engenharias matemática estatística idioma inglês - fluente
32, atuar banco modelo entidade- relacionamento mapeamento lógico relacional modelo entidade-relacionamento mapeamento lógico relacional processamento otimização consultas elaboração documentação banco manipulação tratamento visualização tratamento lidando valores faltantes normalização detecção tratamento outliers técnicas visualização softwares bi microsoft power bi tibco spotfire desenvolvimento software - metodologias desenvolvimento software metodologias ágeis desenvolvimento testes software elaboração documentação software vivência sap módulo pm vivência bi ensino superior completo área informática correlata comprovada serem executadas vivência sistemas ferramentas programas necessários desenvolvimento essencial desenvolvimento software bando sap módulo pm bi
33, implementação soluções modernas analytics lakes self-service bi através implementação tecnologias cloudera hadoop oracle exadata tableau qlik obiee cognos gestão equipes projetos grande porte warehouse business intelligence advanced analytics segmentos telecomunicações financeiro seguros serviços foco resultado excelente relacionamento interpessoal forte resiliência foco cliente métricas gestão performance gestão pessoas gestão negócios banco ferramentas bi ba
34, extração diária g.a. google ads facebook ads sintetizada tomadas decisões revisão mensuração atuais conversões implementadas ads modo evidenciar realidade cada negócio url s parametrizadas análise projeções resultados baseados science suporte campanhas google shopping subindo feeds controlando possíveis erros dentro google merchant center landing pages front back end tornando lp amigável junto políticas boas práticas google facebook bem considerando seo página relatórios automatizados studio apresentação resultados semanais ferramenta acompanhamento tags pixels campanhas sugerindo mudança rotas buscar reduzir taxas quebras réguas automação demais campanhas leads ativas novos públicos base fornecidos ferramentas ads análise sistemas t.i. programação correlatas necessários implementação tags google tag manager google search console extração relatórios otimizados geração leads implementações pixel front back end google analytics google ads google merchant center studio facebook ads noções seo réguas automação inbound marketing
35, apoiar implementação área análise validar modelos estatísticos atuais desenvolver novos responsável resolver problemas negócios técnicas orientadas trabalhar variedade linguagens programação incluindo python r imprescindível entenda conceitos prática atuado construção modelos estatísticos regressão linear regressão múltipla álgebra linear clustering práticos coletar estruturar tecnicamente consiga tirar informações usá-los inovar resolver problemas negócios comunicativa diferentes públicos-alvo negócios tecnologia diretoria engenheiro expondo necessidades apresentando projetos argumentando ideias explorando oportunidades demais áreas negócio fim agregar valor empresa formação acadêmica ensino superior completo ciências computação engenharia física estatística matemática cursos correlatos suficiente interlocução ti machine learning deep learning arquitetura arquitetura - soluções arquitetura sistemas distribuídos azure - databricks datafactory synapse banco sql postgresql timescaledb @ postgresql mongodb tecnologia visualização powerbi habilidade linguagens programação python r. atuar projetos metodologia ágil ferramentas gestão projetos jira trello etc. idioma inglês - intermediário
36, contratando cientista execução projetos transformação digital desenvolvendo ferramentas inovadoras entregar melhor plataforma grande empresa entendemos evolução necessário tecnologias tableau power bi metodologia ágil ferramenta etl grande oportunidade toda certeza hesitaremos contratar ! banco principal sql transformação envolve áreas projeto prazo indeterminado fara parte equipe desde início possamos ter melhor resultado equipe longa evolução plataformas grande empresa telecomunicação 100 % remota interesse candidate-se vaga grande prazer dividir grandes coisas termos negócios nunca feitas pessoa feitas equipe pessoas idioma inglês - intermediário
37, atuar desenvolvimento modelos ml/ modelagem preditiva dashboards tableau power bi ferramentas similares implementação ambiente cloud azure aws etc desenvolvimento algoritmos aplicação larga escala deep learning computação distribuída hadoop map reduce mestrado/phd computação matemática física engenharia estatística etc sólidos python r. capacidade comunicação apresentação verbal escrita capacidade transmitir conceitos matemáticos não-peritos comprovada mining big extração sql server automatizações
38, gostamos inovar ia microserviços apis transformando empresas criando produtos fantásticos ! entrando aqui seedts oportunidade atuar diferentes indústrias finanças retail saúde tecnologias vanguarda dentro especialidades diárias atuar dentro projetos multidisciplinar programar desenvolver implementar apps ml entender ter noções todo ciclo desenvolvimento sistema promover inovação processos dia dia compartilhar cursando formação área ti linguagem programação python scala spark sql contato banco sql oracle postegre mongodb vivência projetos metodologia ágil utilizar ferramentas gestão projetos jira trello etc computação nuvem saas iaas paas especificamente azure expressroute azure vpn event hubs stream analytics azure lake gen1 factory databricks azure sql warehouse azure sql db azure analysis services azure machine learning studio azure cognitive services
39, profissional área transformar tecnologia atuará análise gerando insights áreas negócio região central paulo home office - 3 dias semana desenvolvimento modelos levantamento regras negócios analise exploratória métricas avaliação interpretabilidade apresentação resultados habilidade times ágeis
40, alta performance totalmente focado colocar conquista imóvel próprio alcance brasileiros sabemos realização inimaginável boa parte população acreditamos levar moradia digna brasileiros forte impacto social país industrialização inovação tecnologia apostas cada vez pessoas conquistem casa própria dignidade infraestrutura qualidade vida cultura baseada simplicidade otimismo sempre crescimento companhia afinal pessoas fazem tudo acontecer # vempratenda desafio especialista cientista protagonista jornada transformação processos modelagem ajudando empresa cada vez construir cultura driven equipe construção então aprendizado constante caminho livre desafiado responsabilidades modelos estatísticos/preditivos suportar decisões estratégicas baseada elaborar estudos análises relacionadas negócio compartilhá- los stakeholders manipular etl testes hipóteses buscar inovações requisitos superior completo preferencialmente estatística matemática engenharia ciências computação mandatório ter vivência python sql power bi ter ferramentas inteligência artificial machine learning deep learning imprescindível ter prévia manipulação análise grande escala vivência metodologias ágeis frameworks scrum kanban soft skills curiosidade determinação visão negócio boa comunicação bom relacionamento interpessoal
41, requisitos necessários domínio ferramentas soluções python r matlab scala básico machine learning noções visualizações suporte modelos implementados amplo python r manipulação sistemas armazenamento sql spark domínio machine learning visualizações big domínio cloud aws azure google cloud avançado python r estruturados spark neo4j mongodb cassandra ferramentas escaláveis processamento scala spark hive noções docker api s flask plumber akka http liderança projeto junto áreas negócios ti formação acadêmica superior completo exatas áreas correlatadas benefícios vale refeição vale transporte assistência médica assistência odontológica seguro vida desconto parceiros faculdades cursos idiomas academia incentivo certificação treinamentos
42, relacionadas ciência analytics área bi big modelagem construção pipelines sistemas distribuídos hadoop spark programação linguagens python r scala java conceitos classificação previsão construção modelos machine learning sólida base matemática sólido modelos estatísticos utilizados ciência
43, leitura máquina extração informações extração entidades modelo acústico linguagem modelos linguagem sumarização automática fundamentos nlp transformação preparação linguagens naturais agentes baseados lógica proposicional conectivos lógicos modelos proposicionais eficientes inferência proposicional encadeamento planejamento clássico algoritmos planejamento rep tempo escalonamento recursos planejamento multiagente ferramentas apis especialistas agentes lógicos agentes raciocínio thesaurus engenharia ontológica ontologia extração ontologias análise sintática análise semântica categorias objetos eventos raciocínio linguagens representação ontologias rdf rdf-s owl ferramentas desenvolvimento aplicações semânticas 6 plataformas publicação ontologias frameworks manipulação ontologias sesame jena ferramentas raciocínio ontologias outras ferramentas apis especialistas representação raciocínio sobre raciocínio kr kr² kr r campo inteligência artificial ia dedicada representar informações sobre mundo sistema computador pode utilizar resolver tarefas complexas diagnosticar condição médica ter diálogo linguagem natural representação incorpora descobertas psicologia sobre seres humanos resolvem problemas representam fim projetar formalismos tornem sistemas complexos fáceis projetar construir raciocínio incorporam descobertas lógica automatizar vários tipos raciocínio aplicação regras relações conjuntos subconjuntos exemplos formalismos representação incluem redes semânticas arquitetura sistemas quadros regras ontologias exemplos mecanismos raciocínio automatizado incluem mecanismos inferência provadores teoremas classificadores banco nosql principalmente grafos relacional desenvolvimento container soluções indexação busca linguagem funcional linguagem owl linguagem wolfram linguagem lisp java python scala recomendável
44, executar definir modelagem extração confeccionar relatórios power bi linguagens programação víes estatístico levantar requisitos modelagem garantir disponibilidade recursos tecnologia assim manter documentação atualizada compilação tomada decisão linguagem programação r - python plataformas metodologias desenvolvimento sistemas sistemas gerenciadores banco t-sql processos engenharia software power platform
45, sobre cuidas cuidas revolucionando acesso saúde brasil oferecemos cuidado eficiente personalizado conectando médicos enfermeiros família empresas preocupam saúde colaboradores facilitando acesso destes cuidados atenção primária saúde meio aplicativo cuidas têm acesso equipe saúde durante horário comercial podem agendar consultas sempre precisarem além oferecer atendimentos virtuais chat videoconferência cuidas oferece serviço atendimento ambulatorial presencial local trabalho paciente pontos atendimento parceiros.nossa missão dar acesso saúde qualidade todas pessoas personalizada eficaz prezamos cuidado próximo focado usuário incentivando vínculos profissional saúde pessoa atendida sobre vaga cientista sênior responsável construir produtos afim melhorar saúde pessoas quais desafios responsabilidades posição compreender profundamente negócio identificar oportunidades gerar valor tomada decisões desenvolver colocar produção modelos preditivos otimização assim estruturar avaliação monitoração contínua métricas performance contribuir escalar cuidado personalizada milhares vidas responsável garantir boas práticas propagar cultura data-driven empresa participar ativamente concepção planejamento arquitetura serviços mvps farão modelos algoritmos produção pré-requisitos cientista capacidade compreender formular modelar problemas negócio conectando desafios equipes técnicas ciência metodologias aplicadas problemas reais cleaning exploratory analysis model selection cross-validation proficiente linguagens programação suporte statistical learning python r etc manipulação relacionais pandas sql spark projetando experimentos sólido estatística otimização modelagem preditiva etc excelente capacidade interação equipe multifuncional multidisciplinar perfil curioso mão massa considerado trabalhando startups rápido crescimento mercado saúde aws
46, modelos estatísticos implementação banco clientes entendimento padrões navegação sites clusterizações clientes desenvolvimento modelos funis compra identificação melhores oportunidades venda além colaborar desenvolvimento novos produtos área projetos tecnologia empresa almejando melhorias processos otimização custos atuará área negócios olhar voltado melhores estratégias formatação ferramentas crm e-commerce ti machine learning atuará diretamente gestor area projetos trazendo insumos/informações desenvolvimento metodologias pesquisa implementação desenvolvimento produtos projetos superior completo curso matemática estatística engenharia ciência computação economia física áreas correlatas
47, atuar grande consultoria tecnologia presente diversos países comprovada cientista - algoritimos machine learning redes neurais k-nn naïve bayes decision trees random forests python r tensorflow keras ambientes big
