idx,nltk
15, nexoos nasceu sonho fomentar empreendedorismo revolucionar sistema financeiro brasil plataforma líder brasil modelo peer to peer lending crédito online empresas conectando investidores buscam diversificar carteiras empresas procura investimentos justa eficiente apaixonados tecnologia primeira fintech operar s.e.p nova modalidade instituição financeira brasil atuamos intermediários porque aqui lucra clientes banco acredita propósito quer crescer lado melhores área junte-se ! fazemos diferença senso dono sonhamos democratizar sistema financeiro brasileiro agimos coragem prol pequenas médias empresas todo brasil tão impactadas crise econômica focamos resultado dedicamos conquistar melhores investidores país resilientes encontramos alternativas driblar superar obstáculos focamos cliente entregar única acima expectativa divertir aliando crescimento pessoal profissional colaborar próximo incansavelmente melhor versão excelência todos dias # nexoos trata vaga analista bi fonte oficial informações análises companhia responsável entender demanda áreas variáveis definições formais ponte business equipe ciência analytics responsabilidades compreensão necessidades variáveis identificação origens relatórios acompanhamentos manutenção desenvolvimento dashboards esperamos espírito empreendedor busquem tornar pilar organização grande potencial revolucionar mercado brasileiro crédito precisa ter perfil analítico gostar alguma programação bem capacidade investigativa apresentação conclusões estar disposto fazer trabalho investigativo detalhado bancos warehouse ql sólido interesse python organização pontos extras crédito knime algum programação
16, garantir monitoramento entrega indicadores audiência on offline trabalhar processo coleta organização análise compartilhamento monitoramento informações oferecem suporte gestão negócios veículos sjcc realizar estudos analíticos adhoc estudos personalizados medida necessidades cada cliente compreendendo cenários avaliando impactos domínio análise operações tecnologia construção painéis acompanhamento dashboard sólidos web analytics facebook insights domínio ferramenta google analytics office principalmente excel pivot tables macros analysis services etc seo
17, identificar expectativas necessidades áreas analisar contexto comportamentos opiniões hábitos elaborar recomendações ações soluções estudo viabilidade analisar tendências mercado versus fatores econômicos- financeiros negociar áreas clientes fornecedores subsidiar desenvolvimento melhorias processos elaboração consultas queries banco sql server desenvolvimento linguagem crm dynamics sistemas web based soluções mobile bi análise ensino superior completo análise sistemas tecnologia informação
18, formação comunicação social + especialização pós-graduação certificações comprovada função business intelligence empresas agências publicidade desenvolvimento aplicação metodologias extração tratamento armazenamento análise elaboração kpis alinhado canais digitais objetivos campanha domínio completo ferramentas análise google analytics ferramentas análise redes sociais facebook twitter linkedin youtube dentre outras estruturar visualização relatórios dashboards customizados ferramentas power bi google studio
19, busca analista bi power bi/google studio fazer parte ! - realizar extração plataformas mídia digital banco sistemas empresa - estruturar processo etl - fazer modelagem análise - construção dashboard relatórios apresentação relatórios power bi google analytics google studio google studio power bi excel avançado perfil auto gerenciável disciplinado extração sql processo etl modelagem construção dashboards diferenciais ferramentas power bi google studio tableau etc
20, construção relatórios dashboards powerbi desktop/premium automação relatórios dashboards level security visuals rls service applications dax linguagem power query m ms sql analysis services avançado ferramenta powerbi modelagem banco construção processos etl visuais filtros avançados construção cubos analíticos analysis services db powerbi avançado ferramenta powerbi
21, acompanhamento análise quantitativa qualitativa capacidade analítica identificar comportamentos/tendências levantar insights hipóteses extrair analisar provenientes ferramentas web analytics plataformas mídia elaboração relatórios análises recomendações apresentações sobre campanhas mídia digital confecção relatórios dashboards mapeamento implementação tagueamentos instalação pixels mapeamento métricas kpis metas requisitos google analytics plataformas mídia digital facebook ads google ads sobre operação ferramentas supermetrics google tag manager google datastudio excel avançado capacidade gestão prazos capacidade organização diferenciais programação social listening
22, garantir confiabilidade informações geradas área modelar desenvolver kpis relatórios gerenciais áreas negócio consolidar resultados gerar análises tomada decisão desenvolver modelar validar garantir integridade atualização banco bi gerar atualização armazenamento banco bi otimizar processos através automatizações desenvolvimento queries hard skills excel avançado sql avançado power bi/qlikview/tableau tecnologia banco lógica programação dw etl soft skills visão negócios lifelong learning aliar teoria prática raciocínio lógico curiosidade
23, fazer manutenção métricas setor saúde auxiliar vários líderes gestores atingir metas - receber solicitações registrar trabalhos executados - realizar levantamentos definir métodos recursos necessários desenvolvimento - assessorar tecnicamente gestores áreas integração processos demais áreas interface - levantar extrair analisar - efetuar análise impactos hipóteses mudanças previstas sistemas - desenvolvimento manutenção kpis dashboards relatórios - desenvolvimento relatórios gerenciais estratégicos - desenvolvimento script sql monitoramento ajustes contínuos desempenho automação relacionadas ambiente bi - linguagem sql ddl dql dml dcl - modelagem multidimensional datawarehouse - etl pentaho sql server integration service talend hadoop - análise exploratória visualização tableau qlik sense power bi microstrategy microsoft excel python - gerenciamento banco relatórios - análise negócio
24, extrair limpar estruturar analisar tomada decisões desenvolver relatórios novos modelos análise técnicas estatística identificando oportunidades melhorias performance acompanhar indicadores internos externos avaliar desempenho negócio elaborar estudos apresentações conforme áreas ensino superior cursando ti administração engenharias formação acadêmica compatível análise indicadores avançado excel linguagem sql ferramentas visualização power bi studio qliksense tableau similares facilidade trabalho equipe capacidade analítica proatividade python vivência varejo diferenciais
25, traduzir objetivos negócios cliente estratégia gerenciamento informações inteligência negócios integrada consistente gestão contas promover permitir importação exportação práticas recomendadas conta vincular conta práticas emergentes indústria campos bi desenvolver promover visualização criativos obter inteligência acionável realizar modelagem financeira análise compilação quantitativos atuar previsão tendência desempenho fornecer orientação liderar resolução problemas desenvolver recomendações base interpretação análise transformar comportamentos técnicas desenvolver ferramentas painéis automatizados equipe ti fornecer insights tempo real corporativos conceitos estatísticos avançados determinar fontes significativas variabilidade projetar integração vários sistemas armazéns gerenciáveis modelos analíticos entender necessidades definir gerenciar expectativas cliente dentro restrições sistema projeto contrato proporcionando tempo atendimento excepcional aprimorado formação ciências contábeis engenharia software similares tableu excel etl alterix rpa melhoria processos linguagens programação análise r python sql vivência mining estatística infraestrutura big hadoop mapreduce spark machine learning inglês fluente mandatório idioma inglês - fluente
26, desenvolvimento análise relatórios diversos relatórios gerenciais transformação etl set analysis dashboards objetos interpretação tabelas fato dimensão desenvolvimento métricas kpi´s banco entendimento regras negócio pró-atividade atenção detalhes interesse comprometimento qualidade trabalhos
27, entendimento necessidade arquitetura integração salesforce implantação crm salesforce desenvolvimento manutenção mapas etl informática cloud power center integração sales cloud solução problemas integração salesforce atendimento controle ferramenta alm consulta soql consulta oracle
28, atuar sql apis alteryx - plataformas digitais facebook google - elaboração dashboards indicadores performance meio consultas banco análise geração insights áreas negócios manipulação etl datawarehouse ferramentas suporte sla desenvolvimento documentações suporte cliente powerbi tableau manipulação base interno externos
29, construção rotinas fluxo etl construção relatórios painéis dashboards construção manutenção indicadores kpi elaboração relatórios esporádicos automáticos correção melhoria processos existentes análise foco ações melhoria insights gestão técnica equipe bi power bi cloud
30, lendico is revolutionizing the brazilian credit market by offering personalized and fair interest rates through our proprietary 100 % digital platform our process is simple transparent and offers differentiated service each of our clients our company is diverse inclusive laid-back and driven our work is performed with creativity and passion but always in an ethical environment that truly values human relationships it is through our amazing people and shared core values that we are transforming traditional credit markets the benefit of brazil we are looking business intelligence analyst to promote data-driven culture best practices tools and methodologies that will contribute to the company 's growth key responsibilities structuring the project including preparation solution delivery and business analysis solving problems or company s requirements delivering bi solutions and analysis to support business decisions supporting the delivery and to evolve/adapt the solution when necessary understanding and collect areas requirements dashboards and other bi solutions creating and developing bi projects that solve business problems and requirements analysis insights or opportunities to improve products policies and processes documenting and guide the team to spread analytics and data-driven culture qualifications graduation in computer science engineering statistics or related experience in business intelligence statistical and analysis or technology experience in databases and bi tools knowledge in sql and modeling our benefits sul américa medical assistance odontologic assistance life insurance education assistance meal ticket or food voucher vittude - online therapy platform agreement with sesc discount partnerships with mondial lowko prontochef yazigi and pecege usp esalq learning platform - lendacademy why work at lendico we are one of the pioneering online credit fintechs in brazil ! home office an undetermined we celebrate our achievements laid-back environment dress code - dress the way you want day-off and birthday shopping did you like it sign up the job ! we hope you are our next hire lendico is an equal opportunity employer and hires qualified peoples independently of sex race sexual orientation religion nationality age or disability
31, analisar campanhas integradas contribuem resultado clientes gerar insights otimização áreas envolvidas partir cruzamentos informações coletar integrar analisar mídia on off social + negócio indicadores marca monitorar sistematicamente resultados campanhas seguindo modelos pre definidos ferramentas bi google analytics extração análise superior áreas comunicação social administração áreas relacionadas cargo ferramentas seo moderação monitoramento
32, envolvem melhorias dw inserção novos base desenvolvimento novos projetos
33, foco desta função garantir melhor compra consumidor venda lojista devem ficar encantados cazco manter relacionamento duradouro pessoa perfil dinâmico pró-ativo objetivo apresentar melhor solução possível clientes além atendimento pessoa responsável ajudar crescimento marketplace busca novos lojistas ações crescimento lojistas atuais atendimento telefônico consumidores e-mail chat esclarecimentos dúvidas sobre pedidos dar suporte lojistas mantenham estoques preços atualizados seller panel dia dia vendas prospecção ativa apresentação marketplace novos lojistas buscar formas alavancar vendas lojistas atuais auxiliar outras dia dia operacionalização algumas vendas emissão nf despacho produtos via correios
34, manutenção dashboard/relatórios monitoramento indicadores áreas negócio power bi elaboração acompanhamento indicadores desempenho áreas operacionais comerciais áreas suportes geração relatórios sql server utilizar múltiplas fontes informação visão ampla mercado clientes problemas concorrência economia potencial crescimento empresa novos produtos serviços ensino superior administração áreas mínima 06 meses função excel avançado
35," bairesdev is proud to be one of the fastest-growing companies in latin america and welcoming highly rated employer glassdoor employee score 4.3 with more than 2,000 employees in 27 countries and world- class clients from start-ups to fortune 500 companies we re only strong the multicultural teams at the heart of our business bairesdev runs on talent to consistently deliver the highest quality solutions to our clients we only hire the top 1 % of it talent and nurture their professional growth on exciting projects companies like google pinterest and udemy about the role we are looking business intelligence analysts to join our team you will be responsible the design implementation operation and maintenance of and analytical pipelines this is an excellent opportunity those professionals looking to develop in one of the fastest-growing companies in the industry ! what you ll - extract and manipulate large volumes of using business intelligence tools - oversee the deployment of to the warehouse - analyze databases and make reports related to the information analyzed - make reports related to the information analyzed - communicate complex concepts and analysis results clearly and effectively - create or discover new procurement and processing programs you must have - experience business intelligence analyst - knowledge of database statistics and processing - skilled with sql and excel - ability to understand and find appropriate applications and analysis results - advanced english level bairesdev offers - excellent compensation plan well above the market average - possibility of remote work and flexible schedules - training plans - extensive possibilities growth and professional development thanks to our mentoring system are you interested in joining the most talented it team in latin america you want to work an innovative tech company with the resources of multinational market leader are you ready to the best work of your professional life if so we want to hear from you apply today ! idioma inglês - fluente"
36, sql banco construção dashboards ferramenta bi dw etl pentaho talent gestão governança quality etc plataformas cloud preferencialmente gcp ferramentas visualização geração relatórios studio looker power bi tableau métodos estatísticos preditivos proficiente linguagens programação python java vivência projetos bi/analytics superior completo ciência/engenharia computação análise sistemas perfil analítico avançado sql banco inglês intermediário construção dashboards ferramenta bi dw etl pentaho talent
37, descrição sobre vaga pessoas atuar analista inteligência mercado aptidão números tecnologia análise apoiar área inteligência geração insights sobre diversos setores economia conhece sobre inteligência mercado science inovação venha fazer parte pesquisa estudo fontes relatórios office ferramentas bi transformação informações relevantes tomada decisão requisitos excel avançado ferramentas bi ter facilidade números formação concluída áreas estatística engenharia economia administração tecnologia informação outras áreas correlatas inglês sql python r power bi requisitos excel avançado ferramentas bi ter facilidade números formação concluída áreas estatística engenharia economia administração tecnologia informação outras áreas correlatas
38, análise modelagem monitoramento performance social integração desenvolvimento dashboards elaboração relatórios gerenciais operacionais meio ferramentas bi aperfeiçoamento processos organização tratamento informações compilação informações relevantes acompanhamento tendências mercado kpis estimativas acompanhamento resultados fornecimento informações áreas negócios projetos bi
39, pouco empresa sos pdv socorro ponto venda precisa esperamos elaboração dashboards power bi visão gerencial tomada decisões controle processos inteligência garantia acuracidade atualização banco atendimento equipe merchandising suporte área inteligência cliente interface departamento ti interface gerência projeto apontamento melhorias treinamento coordenadores correto plataformas bi responsabilidade envio comunicados orientações referentes área inteligência desenvolvimento materiais informativos referentes sistema elaboração relatórios bi tracking gerenciais quais competências técnicas avançado excel básico sql básico vba buscando alguém raciocínio lógico pensamento estratégico proatividade foco resultados familiaridade trabalho equipe gestão simultânea múltiplas tarefas
40, levantamento mapeamento processos junto área negócios mapeamento campos estruturas modelagem harmonização customização extratores standard extração sap ecc etl sap services modelagem cadeia carga sap bw ferramentas bi ms sql server 2016 ssis ssas ssrs publicação dashboard powe bi desktop configuração gateway power bi modelagem dimensional procedures funções sql mdx dax azure devops
41, análise desenvolvimento aplicações bi warehouse marts integração mineração campanhas avançado ferramenta s etl extração transformação carga avançado alguma ferramenta olap processos automação carga controle carga dependências etc modelagem dimensional banco mpp perfil gestão pessoas projetos
42, irá integrar equipe inteligência transformando traduzindo muitos ! informações relevantes clientes internos externos responsabilidades incluem analisar manter qualidade utilizados ferramentas bi power bi tableau garantir disponibilidade dashboards relatórios desenvolvidos entregues clientes externos internos além propor desenvolver melhorias features relatórios análises dashboards ! esperamos saiba sql raciocínio lógico lógica programação senso crítico muita vontade ensinar aprender evoluir conosco ! tecnologias ferramentas utilizamos aws s3 emr ec2 aws redshift ms sql server postgresql apache spark python powerbi tableau obrigatórios excel avançado sql avançado consultas powerbi raciocínio lógico desejáveis modelagem lógica programação tableau python
43, buscando profissional dashboards análise integração diferentes bases administração indicadores marketing elaboração relatórios rotina relacionamento outras áreas empresa excel avançado marketing campanhas incentivo fidelidade análise capacidade analítica senso crítico administração indicadores marketing perfil multitarefa mão massa iniciativa visão empreendedora capacidade promover melhorias garantir eficiência processos pro atividade senso urgência planejamento organização sentimento dono capacidade suportar crescimento área completa perfil avançados dax - power bi analysis bi integration services automação carga etl trabalhar grande volume loyaltys serviços b2b
44, revisar validar medida coletados apoiar desenvolvimento políticas procedimentos coleta análise cooperar departamento ti implantar atualizações software hardware permitam melhorar casos monitorar resultados análise métricas - implementar metodologias análise revisar arquivos cliente interno externo garantir integridade coleta realizar perfilamento identificar entender anomalias competências funcionais análise requisitos kpis documentação estruturada mapeamento processos competências gestão projetos scrum competências técnica office conectores odbc outras fontes banco pl sql linguagem programação - select join if group mer modelo entidade relacionamento conceitos bi específicos transformações etl dimensão x fato requisitos diferenciais ferramenta qlik sense local trabalho vila olímpia - sp 75 % bernardo campo - sp 25 % regime 60 % on-site 40 % home office competências qlik ofice on premises saas banco sql oracle odbc qlik saas etl
45, analisar levantar requisitos definir modelagem modelos serem tratados transformados estudar melhor ferramenta extração
46, atualização relatórios desempenho lojas unificação análise banco customização relatórios acordo necessidade cliente report diretor logística fazer levantamento importar sistema emitir gráficos relatórios
47, transformar fontes informações relatórios acessíveis facilitando tomada decisão gestores hospital paraná avançado sql domínio excel graduação análise desenvolvimento sistemas graduação ciência computação office intermediário
48, analisa levanta define modelagem modelos serem tratados transformados estuda melhor ferramenta extração superior engenharia áreas mbi science analitycs quelink sense power bin sqn google google analitics manager date marketing software skill comunicação pensamento analítico solução problemas
49, desenvolver aprimorar modelos integração etl arquitetar estrutura banco suportar alto volume alta performance suporte manutenção suporte pacotes melhorias adição agregados particionamento objetos etc executar demonstrações projetos provas conceitos desenvolvimento design técnico colaborar equipes projeto clientes internos parceiros suporte soluções coleta requisitos entrega produtos sql server ssis sql server pl/sql oracle
50, construção revisão constante painéis dashboards validar extraídos tratados dashboards desenvolvimento reports semanais mensais entender necessidade áreas negócio ter papel consultivo áreas comercial relacionamento cliente superior completo administração matemática estatística áreas correlatas domínio completo tableu manipulação grandes conjuntos bancos sql hive spark python etc excel avançado bom relacionamento interpessoal perfil hands-on
51, analisa levanta requisitos define modelagem modelos serem tratados transformados estuda melhor ferramenta extração
52, supply chain - demand management atuar análises relatórios gerenciamento ferramentas visualização tableau qlikview powerbi relatórios excel graduação estatística engenharia informática matemática similar avançado sql capacidade especificar kpis relatórios mediante requisitos negócios dinamismo comunicação habilidades interpessoais proátivo identificar desvios melhorias possam influenciar projeto
53, responsável atualização todos relatórios envolvam área bi estudos mercado bancos ferramenta geomarketing acompanhar indicadores performance companhia desenvolver ferramentas relatórios acordo demanda cada área participar todos projetos envolvam área bi tratamento base sugestão melhorias atualização todos relatórios banco ferramentas geomarketing acompanhamento indicadores participar todos projetos bi excel conhecer/noção banco ensino superior completo administração áreas correlatas anterior função
54, referentes função analisa levanta requisitos define modelagem modelos serem tratados transformados estuda melhor ferramenta extração macrostrategy power bi
55, analisa levanta requisitos define modelagem modelos serem tratados transformados estuda melhor ferramenta extração macrostrategy power bi
56, aprender entender sistemas legados cliente área saúde auxiliar áreas negócio modelos atendam indicadores mapeados trabalhar focado entrega relatórios dashboards mapas cargas sistemas origem dar manutenção consultas procedures packages pl/sql estruturar mapas carga objetivo facilitar entendimento trilha informação respectivas transformações transformar processos existentes pl /sql mapas carga ferramenta odi oracle integrator levantar mapear construir indicadores juntamente área negócio ferramenta powerbi monitoramento sustentação processos existentes carga área bi formação área tecnologia pl/sql levantamento requisitos modelagem multidimensional ter área bi ênfase modelagem marts plenos ferramentas oracle 12 19c ter plenos oracle integrator odi powerbi ter ferramenta sap business objects b.o
57, atuar desenvolvimento sistemas modelagem multidimensional extração/transformação/carga desenvolvimento sistemas modelagem multidimensional extração/transformação/carga ferramentas sql server ssis linguagens c # java script css html power bi superior completo cursando análise sistemas ciência computação similar idioma inglês técnico leitura requisitos desejáveis ssas analysys services governança processos qualidade
58, responsável todos relatórios departamento focado kpis - realizar gestão reports - fazer gestão toda cadeia estoque transferência ruptura entrega compra giro - levantar - desenvolver visualizações através power bi studio tableau - projetar desenvolver manter painéis gerenciamento indicadores desempenho - auxiliar tomada decisões diferentes frentes trabalho baseando-se - automatizar processos diários rotinas manuais - realizar análises pontuais base solicitações outras áreas - fazer análise informações benchmarking - ensino superior completo marketing engenharia administração - vtex - office avançado excel - power bi studio tableau avançado - sql intermediário - google analytics relatórios personalizados - google tag manager ferramenta similar - cro - noções html - noções marketing digital seo
59, analisa levanta requisitos define modelagem modelos serem tratados transformados estuda melhor ferramenta extração graduação completa cursos relacionados tecnologia informação tais análise sistemas sistemas informação engenharia computação ciência computação desenho implantação soluções bi analytics ferramentas etl integração big ecossistema hadoop spark sqoop mapreduce etc pós-graduação/mba analytics cursos relacionados ferramentas suite informatica dei deq des edc plataformas cloud preferencialmente google cloud platform gcp modelagem qualidade vivência métodos ágeis scrum
60, gerar ad placement acordo plano mídia pedido material validação taxonomia extração tratamento consolidação disponibilização desenvolver base consolidar informações campanhas pré pós-clique crm social listening pesquisa mercado outras fontes necessárias qa input output desenvolver atualizar relatórios dashboards desempenho campanhas através excel ferramentas visualization studio power bi tableau datorama etc programação r python interação área mídia check-points desempenho campanha alinhamento kpi acompanhamento performance campanhas mídia desenvolver análises estudos exploratórios geração insights participar apresentações resultados cliente interno externo gerenciamento banco auxiliar desenvolvimento soluções inteligência auxiliar planejamento estratégico organização diz respeito insights negócio auxiliar validação implementação tagueamento site análise teste a/b auxílio projetos machine learning estudos estatísticos participar reuniões técnicas equipe interna fornecedores cliente garantir operação integrados disponibilizados consulta agência mídia planejamento atendimento etc analista b.i principal objetivo manter operação área atuando extração tratamento análise acompanhamento campanhas geração insights departamentos mídia operações planejamento
61, desenvolver pertinentes cargo necessário superior cursando completo ciência computação necessário link table necessário set analysis necessário construção painéis qlik necessário qlik
62, etl ibm datastage testes unitários implantação processos cargas banco sql server melhoria performance processos carga etl shell-script sql padrão ansi graduação análise desenvolvimento sistemas engenharia software ciências computação machine learning inteligência artificial big
63, etl ibm datastage testes unitários implantação processos cargas banco sql server melhoria performance processos carga etl shell-script sql padrão ansi graduação análise desenvolvimento sistemas engenharia software ciências computação machine learning inteligência artificial big
64, análises exploratórias construção relatórios dashboards power bi avançado elaboração apresentações materiais reuniões gerenciais banco linguagem sql sas oracle análise negócio identificação oportunidades fluxos processo realizar atualização curadoria excel avançado etl google analytics
65, reunir requisitos negócios mapa função documentos design técnico prática desenvolvimento qliksense modelagem técnicas relatórios transformação análise conjuntos desenvolvimento front-end extensão implementação segurança avançada painel profissional qlikview qliksense manutenção desenvolvimento relatórios painéis negócio
66, levantamento entendimento requisitos negócios elaboração acompanhamento cronogramas elaboração modelos multidimensional realização testes unitários banco microsoft sql server ibm db2 ibm netezza sql padrão ansi mapeamento processos ferramentas olap preferencialmente ibm cognos graduação análise desenvolvimento sistemas engenharia software ciências computação inglês técnico leitura escrita
67, levantamento entendimento requisitos negócios elaboração acompanhamento cronogramas elaboração modelos multidimensional realização testes unitários banco microsoft sql server ibm db2 ibm netezza sql padrão ansi mapeamento processos ferramentas olap preferencialmente ibm cognos graduação análise desenvolvimento sistemas engenharia software ciências computação inglês técnico leitura escrita
68, bw suporte query designer analysis office arquitetura lsa - cubos dso s transformations capacidade analítica foco análise toda arquitetura sistema - conseguir identificar onde problema propor soluções excelente comunicação estar linha frente tableau alteryx abap diferenciais carga bw fará parte equipe sustentação composta experientes bw tableau desenvolvimentos tableau alteryx abap diferenciais idioma espanhol - fluente
69, implementação processos etl troubleshooting análise técnica funcional etl troubleshooting realizando consultas sql desenvolvimento troubleshooting stored procedures sp modelagem processos etl manutenção cenários integração melhorias processos etl melhorias código sql gerenciamento integração grandes quantidade informação cargas aws s3 documentação sps processos etl replicação ambientes redshift dev/qa/prod gestão ambiente redshift gestão monitoração jobs execução tuning queries sps processos etl etc planejamento desenvolvimento planos execução workloads interação outras equipes entendimento troubleshooting esclarecimento sobre processos etl sps participar reuniões vídeo-chamadas cliente entender necessidades explicar processos realizar troubleshooting conjunto eventualmente atender chamados resolvê-los horário comercial dba redshift desenvolvimento redshift sql melhorias código redshift sql tuning troubleshooting ambiente redshift elaboração documentação técnica funcional stored procedures configuração administração ambiente redshift modelos dimensionais estratégias integração tratamento incidentes banco analisar incidente verificar base otimizar ... ótimos administração desejadas certificação aws certified database - specialty aws redshift especialização bi itil console amazon redshift sistemas operacionais linux microsoft windows server curso superior ciências computação desenvolvimento sistemas engenharia sistemas áreas relacionadas
70, executar tarefas apoiar planejamento projetos bi definir medir organizar métricas sites portais redes sociais produzir dashboards acompanhamento realizar análises descritivas preditivas prescritivas profissional deve ter capacidade síntese extrair relevantes implicações estratégicas gerar explicações consistentes fatos identificar tendências padrões relacionamentos-chave meio coletados gerar recomendações acordo análise prever tendências observar implicações estratégicas acontecimentos expressos requisitos área agências configuração ferramentas monitoramento vtracker brandwatch stilingue buzzsumo socialbakers outras métricas performance sites redes sociais excel/google sheets etnografia digital boas apresentações trabalho web analytics google analytics noções programação estatística principalmente r noções teóricas/metodológicas ciências sociais boa oratória
71, extrair transformar carregar ferramenta ssis sql server integration services visual studio 2017 ssdt sql server tools dw 's dashboards ensino superior completo sql server otimização querys manutenção pacotes ssis processos etl ssrs reporting services modelagem banco relacional multidimensional cubos diferenciais qlickview qlicksence powerbi banco não-relacional no-sql administração banco
72, extrair transformar carregar ferramenta ssis sql server integration services visual studio 2017 ssdt sql server tools dw 's dashboards ensino médio completo sql server otimização querys manutenção pacotes ssis processos etl ssrs reporting services modelagem banco relacional multidimensional cubos diferenciais qlickview qlicksence powerbi banco não-relacional no-sql administração banco
